Ticker,Name
ABB,ABB India Limited
AEGISLOG,AEGIS LOGISTICS LTD.
AMARAJABAT,AMARA RAJA BATTERIES LTD.
AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD.
HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.
ANDHRAPET,ANDHRA PETROCHEMICALS LTD.
ANSALAPI,ANSAL PROPERTIES &amp; INFRASTRUCTURE LTD.
APPLEFIN,APPLE FINANCE LTD.
BOMDYEING,BOMBAY DYEING &amp; MFG.CO.LTD.
ASIANHOTNR,Asian Hotels (North) Limited
ASSAMCO,Assam Company (India) Limited
ATUL,ATUL LTD.
ATVPR,ATV PROJECTS INDIA LTD.
AUTOLITIND,AUTOLITE (INDIA) LTD.
AUTORIDFIN,AUTORIDERS FINANCE LTD.
BAJAJELEC,BAJAJ ELECTRICALS LTD.-$
BAJAJHIND,Bajaj Hindusthan Sugar Limited
FORCEMOT,FORCE MOTORS LTD.-$
BAJFINANCE,Bajaj Finance Limited
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.
BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$
CENTURYTEX,CENTURY TEXTILES &amp; INDUSTRIES LTD.
BANARISUG,BANNARI AMMAN SUGARS LTD.
BASF,BASF INDIA LTD.
BATAINDIA,BATA INDIA LTD.
BEML,BEML LTD.
BEL,BHARAT ELECTRONICS LTD.
BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$
BHUSANSTL,BHUSHAN STEEL LTD.
BIHSPONG,BIHAR SPONGE IRON LTD.
BINANIIND,BINANI INDUSTRIES LTD.
BIRLACABLE,Birla Cable Ltd
BLUESTARCO,BLUE STAR LTD.
DISAQ,DISA INDIA LTD.
BNKCAP,BNK CAPITAL MARKETS LTD.
BPL,BPL LTD.
CAMPHOR,CAMPHOR &amp; ALLIED PRODUCTS LTD.-$
CENTEXT,CENTURY EXTRUSIONS LTD.
CESC,CESC LTD.
CHAMBLFERT,CHAMBAL FERTILISERS &amp; CHEMICALS LTD.
EXIDEIND,EXIDE INDUSTRIES LTD.
CIPLA,CIPLA LTD.
DICIND,DIC INDIA LTD.
CRISIL,CRISIL LTD.
CROMPGREAV,CROMPTON GREAVES LTD.
DABUR,DABUR INDIA LTD.
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd
ARVIND,ARVIND LTD.
BALLARPUR,BALLARPUR INDUSTRIES LTD.
BHEL,BHARAT HEAVY ELECTRICALS LTD.
HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.
